pilot_id,sample_id,dataset,level,method,is_primary_variant,is_page_stress_dataset,image_width,image_height,image_area,foreground_ratio,skeleton_pixels,skeleton_density,node_count,edge_count,component_count,junction_count,endpoint_count,short_branch_count,loop_candidate_count,nodes_per_1k_skeleton,edges_per_1k_skeleton,components_per_1k_skeleton,junctions_per_1k_skeleton,endpoints_per_1k_skeleton,short_branches_per_1k_skeleton,junction_endpoint_ratio,edge_node_ratio,component_node_ratio,mean_width_proxy,warning_count,warning_risk_score,graph_path,overlay_path,warnings
pilot2_hkr_forms_0001,hkr_forms_page_000281,hkr_forms,form_page,otsu,False,True,1697,2400,4072800,0.06581982911019446,85797,0.02106585150265174,4575,3854,1293,1383,3192,661,22,53.323542781216126,44.919985547280206,15.070457008986327,16.119444735829923,37.2040980453862,7.704232082706855,0.4332706766917293,0.8424043715846995,0.28262295081967215,2.454405671807783,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0001/graph_otsu.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0001/graph_overlay_otsu.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0001,hkr_forms_page_000281,hkr_forms,form_page,otsu_gridless,True,True,1697,2400,4072800,0.026083038695737575,44419,0.010906256138283246,5329,4355,1984,1276,4053,916,22,119.9711835025552,98.0436299781625,44.665571039420065,28.72644589027218,91.24473761228303,20.621805983925796,0.3148285220824081,0.8172264965284294,0.3723024957778195,2.326640098678219,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0001/graph_otsu_gridless.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0001/graph_overlay_otsu_gridless.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0002,hkr_forms_page_000944,hkr_forms,form_page,otsu,False,True,1697,2400,4072800,0.06613410921233549,99171,0.02434958750736594,6440,5128,2664,1261,5179,1028,43,64.93833882889152,51.708664831452744,26.862691714311644,12.71541075516028,52.22292807373123,10.365933589456596,0.2434832979339641,0.7962732919254658,0.41366459627329194,2.3555224066233182,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0002/graph_otsu.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0002/graph_overlay_otsu.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0002,hkr_forms_page_000944,hkr_forms,form_page,otsu_gridless,True,True,1697,2400,4072800,0.025130622667452366,59660,0.014648399135729719,11768,9026,6861,1093,10675,2362,43,197.2510895072075,151.29064699966477,115.00167616493464,18.320482735501173,178.93060677170632,39.59101575595039,0.10238875878220141,0.7669952413324269,0.5830217539089055,2.10959831671853,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0002/graph_otsu_gridless.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0002/graph_overlay_otsu_gridless.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0003,hkr_forms_page_000752,hkr_forms,form_page,otsu,False,True,1697,2400,4072800,0.04897441563543508,89438,0.0219598310744451,4488,3880,1259,1353,3135,634,6,50.180012969878575,43.38200764775599,14.076790625908451,15.127798027683982,35.052214942194595,7.088709497081777,0.43157894736842106,0.8645276292335116,0.2805258467023173,2.282622840942423,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0003/graph_otsu.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0003/graph_overlay_otsu.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0003,hkr_forms_page_000752,hkr_forms,form_page,otsu_gridless,True,True,1697,2400,4072800,0.02215871145158122,52159,0.012806668630917305,8743,7101,4846,1156,7587,1686,6,167.62207864414577,136.14141375409804,92.90822293372189,22.163001591288175,145.4590770528576,32.32423934507947,0.15236588902069328,0.8121926112318426,0.5542719890197872,2.143202085260621,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0003/graph_otsu_gridless.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0003/graph_overlay_otsu_gridless.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0004,hkr_forms_page_000820,hkr_forms,form_page,otsu,False,True,1697,2400,4072800,0.049507709683755646,79589,0.019541593007267728,3354,3097,729,1272,2082,589,22,42.14150196635213,38.912412519317996,9.159557225244695,15.982108080262348,26.159393886089788,7.400520172385631,0.6109510086455331,0.9233750745378653,0.21735241502683364,2.8329710356858757,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0004/graph_otsu.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0004/graph_overlay_otsu.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0004,hkr_forms_page_000820,hkr_forms,form_page,otsu_gridless,True,True,1697,2400,4072800,0.024002651738361816,41920,0.010292673345118837,7336,6146,4020,1138,6198,1623,22,175.0,146.61259541984734,95.8969465648855,27.146946564885496,147.8530534351145,38.716603053435115,0.18360761535979347,0.8377862595419847,0.5479825517993457,2.4936079756874987,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0004/graph_otsu_gridless.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0004/graph_overlay_otsu_gridless.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0005,hkr_forms_page_001289,hkr_forms,form_page,otsu,False,True,1697,2400,4072800,0.08780642309958751,112633,0.02765493026910234,6462,5945,1662,2291,4171,1124,61,57.37217334173821,52.78204433869292,14.755888593928955,20.340397574423125,37.03177576731508,9.979313345112,0.5492687604890913,0.9199938099659548,0.25719591457753016,2.5369242065541058,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0005/graph_otsu.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0005/graph_overlay_otsu.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0005,hkr_forms_page_001289,hkr_forms,form_page,otsu_gridless,True,True,1697,2400,4072800,0.03147048713415832,58364,0.014330190532311923,7451,6757,2807,2109,5342,1505,61,127.6643136179837,115.77342197244877,48.094715920773076,36.13528887670482,91.52902474127887,25.786443698170103,0.3947959565705728,0.9068581398470004,0.3767279559790632,2.3594576767875224,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0005/graph_otsu_gridless.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0005/graph_overlay_otsu_gridless.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0006,hkr_forms_page_001013,hkr_forms,form_page,otsu,False,True,1697,2400,4072800,0.08487453349047339,113742,0.027927224513847968,8113,6707,2729,2025,6088,1374,29,71.3280934043713,58.96678447715004,23.99289620368905,17.80344991296091,53.52464349141039,12.079970459460885,0.3326215505913272,0.8266978922716628,0.33637372118821646,2.5739900963185782,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0006/graph_otsu.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0006/graph_overlay_otsu.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
pilot2_hkr_forms_0006,hkr_forms_page_001013,hkr_forms,form_page,otsu_gridless,True,True,1697,2400,4072800,0.035732419956786485,68736,0.01687684148497348,11982,9708,6164,1788,10194,2390,29,174.3191340782123,141.23603351955308,89.67644320297951,26.012569832402235,148.30656424581005,34.77071694599628,0.1753972925250147,0.8102153229844767,0.514438324152896,2.305008955277244,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0006/graph_otsu_gridless.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0006/graph_overlay_otsu_gridless.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
