model,condition,distortion,level,n,cer,wer,exact,clean_cer,absolute_cer_delta,relative_cer_degradation,robustness_advantage_vs_image_only,summary_path
gated_v2_dist,blur_mild,blur,mild,5563,0.1506923477355544,0.5180174146014735,0.41146863203307565,0.14375845913586674,0.00693388859968766,0.0482329084588644,-0.005512146790008186,outputs/robustness_v1/gated_v2_dist/blur_mild/summary.json
gated_v2_dist,blur_strong,blur,strong,5563,0.19573138990109318,0.5898191560616209,0.33776739169512854,0.14375845913586674,0.05197293076522644,0.3615295480880648,0.19804973864338915,outputs/robustness_v1/gated_v2_dist/blur_strong/summary.json
gated_v2_dist,clean,clean,clean,5563,0.14375845913586674,0.5056932350971199,0.42387201150458387,0.14375845913586674,0.0,0.0,0.0,outputs/robustness_v1/gated_v2_dist/clean/summary.json
gated_v2_dist,low_contrast_medium,low_contrast,medium,5563,0.16274856845393024,0.5464166108506363,0.3747977709868776,0.14375845913586674,0.018990109318063497,0.1320973348783313,0.2607802808180919,outputs/robustness_v1/gated_v2_dist/low_contrast_medium/summary.json
gated_v2_dist,low_contrast_mild,low_contrast,mild,5563,0.151858407079646,0.5265907568653717,0.39978428905266944,0.14375845913586674,0.008099947943779273,0.05634414831981454,0.11767701389887852,outputs/robustness_v1/gated_v2_dist/low_contrast_mild/summary.json
gated_v2_dist,low_contrast_strong,low_contrast,strong,5563,0.17759500260281103,0.5750837240455459,0.3436994427467194,0.14375845913586674,0.033836543466944285,0.23537079953650047,0.43055930396636627,outputs/robustness_v1/gated_v2_dist/low_contrast_strong/summary.json
gated_v2_dist,noise_medium,noise,medium,5563,0.15662675689744923,0.5320830542531815,0.3952903109832824,0.14375845913586674,0.012868297761582492,0.08951332560834287,0.17779351430949425,outputs/robustness_v1/gated_v2_dist/noise_medium/summary.json
gated_v2_dist,noise_mild,noise,mild,5563,0.14492451847995835,0.5090421969189551,0.4206363472946252,0.14375845913586674,0.0011660593440916134,0.008111239860950135,0.019023084396341573,outputs/robustness_v1/gated_v2_dist/noise_mild/summary.json
gated_v2_dist,noise_strong,noise,strong,5563,0.1886309213951067,0.5863362357669123,0.3366888369584756,0.14375845913586674,0.044872462259239965,0.31213789107763606,0.6465771691574957,outputs/robustness_v1/gated_v2_dist/noise_strong/summary.json
gated_v2_dist,thick_strokes_medium,thick_strokes,medium,5563,0.15190005205622073,0.5264567983924984,0.4044580262448319,0.14375845913586674,0.00814159292035399,0.056633835457705735,0.0003889441542859265,outputs/robustness_v1/gated_v2_dist/thick_strokes_medium/summary.json
gated_v2_dist,thick_strokes_mild,thick_strokes,mild,5563,0.15190005205622073,0.5264567983924984,0.4044580262448319,0.14375845913586674,0.00814159292035399,0.056633835457705735,0.0003889441542859265,outputs/robustness_v1/gated_v2_dist/thick_strokes_mild/summary.json
gated_v2_dist,thick_strokes_strong,thick_strokes,strong,5563,0.1837376366475794,0.5697253851306096,0.357001617832105,0.14375845913586674,0.03997917751171265,0.27809965237543455,0.05734557012157371,outputs/robustness_v1/gated_v2_dist/thick_strokes_strong/summary.json
gated_v2_dist,thin_strokes_medium,thin_strokes,medium,5563,0.15752212389380532,0.5265907568653717,0.39654862484271075,0.14375845913586674,0.013763664757938582,0.09574159907300121,0.055861214245760085,outputs/robustness_v1/gated_v2_dist/thin_strokes_medium/summary.json
gated_v2_dist,thin_strokes_mild,thin_strokes,mild,5563,0.15752212389380532,0.5265907568653717,0.39654862484271075,0.14375845913586674,0.013763664757938582,0.09574159907300121,0.055861214245760085,outputs/robustness_v1/gated_v2_dist/thin_strokes_mild/summary.json
gated_v2_dist,thin_strokes_strong,thin_strokes,strong,5563,0.2916605934409162,0.6727394507702612,0.24824734855293906,0.14375845913586674,0.14790213430504948,1.0288238702201624,0.6862099970915363,outputs/robustness_v1/gated_v2_dist/thin_strokes_strong/summary.json
